Board%20Of%20Education-Economic%20Development,5
Board%20Of%20Supervisors-Accessibility,13
Board%20Of%20Supervisors-Airport,5
Board%20Of%20Supervisors-Economic%20Development,189
Board%20Of%20Supervisors-Government%20Administration,68
Board%20Of%20Supervisors-Health,22
Board%20Of%20Supervisors-Housing/Property%20Tax,131
Board%20Of%20Supervisors-Legal,15
Board%20Of%20Supervisors-Planning%20and%20Building%20Permits,129
Board%20Of%20Supervisors-Public%20Safety,15
Board%20Of%20Supervisors-Public%20Utilities,32
Board%20Of%20Supervisors-Public%20Works,21
Board%20Of%20Supervisors-Recreation%20and%20Parks,11
Board%20Of%20Supervisors-Technology,8
Board%20Of%20Supervisors-Transportation,19
City%20Administrator-Government%20Administration,16
City%20Attorney%20Office%20Of%20The-Housing/Property%20Tax,10
City%20Attorney%20Office%20Of%20The-Legal,24
City%20Attorney%20Office%20Of%20The-Planning%20and%20Building%20Permits,5
Community%20Development%20Mayor%27s%20Office%20Of-Economic%20Development,11
District%20Attorney%20Office%20Of%20The-Public%20Safety,5
Economic%20And%20Workforce%20Development%2C%20Office%20Of-Economic%20Development,17
Economic%20And%20Workforce%20Development%2C%20Office%20Of-Planning%20and%20Building%20Permits,17
General%20Services%20Agency-Planning%20and%20Building%20Permits,11
Historic%20Preservation%20Commission-Planning%20and%20Building%20Permits,8
Mayor%20Office%20Of%20The-Economic%20Development,87
Mayor%20Office%20Of%20The-Education,5
Mayor%20Office%20Of%20The-Housing/Property%20Tax,28
Mayor%20Office%20Of%20The-Planning%20and%20Building%20Permits,23
Mayor%20Office%20Of%20The-Public%20Safety,13
Mayor%20Office%20Of%20The-Public%20Utilities,11
Mayor%20Office%20Of%20The-Technology,8
Mayor%20Office%20Of%20The-Transportation,10
Mayor%27s%20Office%20On%20Housing-Economic%20Development,7
Mayor%27s%20Office%20On%20Housing-Planning%20and%20Building%20Permits,9
Municipal%20Transportation%20Agency-Public%20Utilities,8
Municipal%20Transportation%20Agency-Technology,5
Municipal%20Transportation%20Agency-Transportation,47
Planning%20Commission-Economic%20Development,50
Planning%20Commission-Housing/Property%20Tax,24
Planning%20Commission-Planning%20and%20Building%20Permits,209
Planning%20Commission-Technology,5
Planning%2C%20Department%20Of-Planning%20and%20Building%20Permits,50
Police%20Department-Public%20Safety,12
Port%20Commission-Planning%20and%20Building%20Permits,13
Public%20Utilities%20Commission-Planning%20and%20Building%20Permits,6
Public%20Utilities%20Commission-Public%20Utilities,34
Public%20Works%20Department%20Of-Public%20Utilities,8
Recreation%20And%20Parks%20Department-Planning%20and%20Building%20Permits,10
Recreation%20And%20Parks%20Department-Recreation%20and%20Parks,13
Redevelopment%20Agency%20San%20Francisco-Economic%20Development,5
Redevelopment%20Agency%20San%20Francisco-Planning%20and%20Building%20Permits,11
Retirement%20Board%20San%20Francisco%20Employees-City%20Employee%20Benefits,112
Technology%2C%20Department%20Of-Technology,10
Transportation%20Authority-Transportation,25
Treasurer/tax%20Collector%20Office%20Of%20The-Economic%20Development,9